cod,nome,período,valor
22,PI,1990,33
21,MA,1990,194
17,TO,1990,25
16,AP,1990,17
15,PA,1990,459
14,RR,1990,9
13,AM,1990,201
12,AC,1990,33
11,RO,1990,293
12,AC,1991,63
13,AM,1991,233
14,RR,1991,18
15,PA,1991,491
16,AP,1991,19
17,TO,1991,46
21,MA,1991,203
22,PI,1991,31
23,CE,1991,242
24,RN,1991,109
25,PB,1991,180
26,PE,1991,2008
27,AL,1991,257
11,RO,1991,265
28,SE,1991,179
29,BA,1991,266
31,MG,1991,516
32,ES,1991,473
33,RJ,1991,3979
35,SP,1991,3138
41,PR,1991,562
42,SC,1991,165
43,RS,1991,1117
50,MS,1991,218
51,MT,1991,227
52,GO,1991,440
53,DF,1991,314
11,RO,1992,229
12,AC,1992,53
13,AM,1992,168
14,RR,1992,52
15,PA,1992,468
16,AP,1992,38
17,TO,1992,40
21,MA,1992,209
22,PI,1992,30
23,CE,1992,202
24,RN,1992,110
25,PB,1992,218
26,PE,1992,1719
27,AL,1992,284
28,SE,1992,312
29,BA,1992,428
31,MG,1992,488
32,ES,1992,381
33,RJ,1992,3580
35,SP,1992,2955
41,PR,1992,554
42,SC,1992,151
43,RS,1992,1035
50,MS,1992,235
51,MT,1992,158
52,GO,1992,417
53,DF,1992,271
11,RO,1993,280
12,AC,1993,61
13,AM,1993,172
14,RR,1993,43
15,PA,1993,365
16,AP,1993,39
17,TO,1993,27
21,MA,1993,173
22,PI,1993,30
23,CE,1993,270
24,RN,1993,151
25,PB,1993,205
26,PE,1993,1893
27,AL,1993,351
28,SE,1993,165
29,BA,1993,1013
31,MG,1993,535
32,ES,1993,555
33,RJ,1993,4326
35,SP,1993,3683
41,PR,1993,639
42,SC,1993,175
43,RS,1993,687
50,MS,1993,257
51,MT,1993,170
52,GO,1993,375
53,DF,1993,362
11,RO,1994,221
12,AC,1994,41
13,AM,1994,184
14,RR,1994,49
15,PA,1994,413
16,AP,1994,53
17,TO,1994,30
21,MA,1994,121
22,PI,1994,32
23,CE,1994,260
24,RN,1994,117
25,PB,1994,188
26,PE,1994,1897
27,AL,1994,384
28,SE,1994,213
29,BA,1994,1164
31,MG,1994,460
32,ES,1994,596
33,RJ,1994,5430
35,SP,1994,4127
41,PR,1994,708
42,SC,1994,154
43,RS,1994,790
50,MS,1994,283
51,MT,1994,145
52,GO,1994,442
53,DF,1994,387
27,AL,1995,485
11,RO,1995,160
12,AC,1995,57
13,AM,1995,184
14,RR,1995,50
15,PA,1995,387
16,AP,1995,57
17,TO,1995,35
21,MA,1995,163
22,PI,1995,47
23,CE,1995,359
24,RN,1995,142
25,PB,1995,239
26,PE,1995,2073
28,SE,1995,132
29,BA,1995,1067
31,MG,1995,607
32,ES,1995,610
33,RJ,1995,6659
35,SP,1995,5159
41,PR,1995,827
42,SC,1995,218
43,RS,1995,973
50,MS,1995,411
51,MT,1995,322
52,GO,1995,439
53,DF,1995,444
17,TO,1996,49
12,AC,1996,61
35,SP,1996,5365
28,SE,1996,152
42,SC,1996,213
43,RS,1996,997
14,RR,1996,50
11,RO,1996,196
24,RN,1996,143
33,RJ,1996,6017
41,PR,1996,787
22,PI,1996,40
26,PE,1996,2325
25,PB,1996,275
15,PA,1996,349
51,MT,1996,427
50,MS,1996,468
31,MG,1996,647
21,MA,1996,187
52,GO,1996,469
32,ES,1996,661
53,DF,1996,435
23,CE,1996,351
29,BA,1996,1488
16,AP,1996,89
13,AM,1996,220
27,AL,1996,515
12,AC,1997,55
17,TO,1997,50
28,SE,1997,117
42,SC,1997,225
43,RS,1997,1147
14,RR,1997,40
11,RO,1997,206
24,RN,1997,153
33,RJ,1997,6161
41,PR,1997,896
22,PI,1997,46
26,PE,1997,3000
25,PB,1997,327
15,PA,1997,407
51,MT,1997,437
50,MS,1997,495
31,MG,1997,728
35,SP,1997,5377
21,MA,1997,148
52,GO,1997,431
32,ES,1997,955
53,DF,1997,432
23,CE,1997,448
29,BA,1997,1426
16,AP,1997,57
13,AM,1997,202
27,AL,1997,479
15,PA,1998,436
35,SP,1998,6302
28,SE,1998,105
42,SC,1998,198
43,RS,1998,1058
11,RO,1998,311
24,RN,1998,140
33,RJ,1998,5978
41,PR,1998,961
22,PI,1998,40
26,PE,1998,3651
25,PB,1998,291
17,TO,1998,78
51,MT,1998,537
50,MS,1998,418
31,MG,1998,865
21,MA,1998,130
52,GO,1998,434
32,ES,1998,1161
53,DF,1998,474
23,CE,1998,483
29,BA,1998,799
16,AP,1998,71
13,AM,1998,228
27,AL,1998,414
12,AC,1998,58
14,RR,1998,53
12,AC,1999,14
35,SP,1999,8017
28,SE,1999,216
42,SC,1999,179
43,RS,1999,1085
14,RR,1999,60
11,RO,1999,322
24,RN,1999,138
33,RJ,1999,6002
41,PR,1999,1027
22,PI,1999,56
26,PE,1999,3610
25,PB,1999,256
15,PA,1999,344
51,MT,1999,476
50,MS,1999,351
31,MG,1999,725
21,MA,1999,102
52,GO,1999,534
32,ES,1999,1121
53,DF,1999,454
23,CE,1999,528
29,BA,1999,551
16,AP,1999,60
13,AM,1999,222
27,AL,1999,382
17,TO,1999,70
35,SP,2000,9642
12,AC,2000,39
27,AL,2000,484
13,AM,2000,247
16,AP,2000,33
29,BA,2000,766
23,CE,2000,657
53,DF,2000,501
32,ES,2000,1004
52,GO,2000,706
21,MA,2000,141
31,MG,2000,1420
50,MS,2000,448
51,MT,2000,691
15,PA,2000,461
25,PB,2000,372
26,PE,2000,3617
22,PI,2000,98
41,PR,2000,1093
33,RJ,2000,6126
24,RN,2000,147
11,RO,2000,277
14,RR,2000,47
43,RS,2000,1250
42,SC,2000,222
28,SE,2000,279
17,TO,2000,97
43,RS,2001,1343
17,TO,2001,131
27,AL,2001,604
13,AM,2001,199
16,AP,2001,43
29,BA,2001,1129
35,SP,2001,10625
28,SE,2001,366
12,AC,2001,54
42,SC,2001,269
23,CE,2001,638
53,DF,2001,495
32,ES,2001,1019
52,GO,2001,752
21,MA,2001,221
31,MG,2001,1558
50,MS,2001,395
51,MT,2001,582
15,PA,2001,543
25,PB,2001,346
26,PE,2001,3949
22,PI,2001,102
41,PR,2001,1269
33,RJ,2001,6134
24,RN,2001,216
11,RO,2001,377
14,RR,2001,42
33,RJ,2002,6678
12,AC,2002,66
27,AL,2002,720
13,AM,2002,201
16,AP,2002,50
29,BA,2002,1220
23,CE,2002,741
53,DF,2002,469
32,ES,2002,1221
52,GO,2002,893
21,MA,2002,253
31,MG,2002,2049
50,MS,2002,421
51,MT,2002,582
15,PA,2002,694
25,PB,2002,425
26,PE,2002,3639
22,PI,2002,120
41,PR,2002,1494
24,RN,2002,193
11,RO,2002,393
14,RR,2002,48
43,RS,2002,1373
42,SC,2002,317
28,SE,2002,402
35,SP,2002,9415
17,TO,2002,83
41,PR,2003,1748
33,RJ,2003,6365
35,SP,2003,9570
17,TO,2003,98
28,SE,2003,339
24,RN,2003,289
11,RO,2003,381
14,RR,2003,41
43,RS,2003,1365
12,AC,2003,57
27,AL,2003,774
13,AM,2003,171
16,AP,2003,70
29,BA,2003,1588
23,CE,2003,846
53,DF,2003,562
32,ES,2003,1179
52,GO,2003,868
21,MA,2003,351
31,MG,2003,2815
50,MS,2003,430
51,MT,2003,555
15,PA,2003,871
42,SC,2003,414
25,PB,2003,459
26,PE,2003,3766
22,PI,2003,143
21,MA,2004,355
25,PB,2004,472
12,AC,2004,49
27,AL,2004,754
13,AM,2004,227
16,AP,2004,74
29,BA,2004,1590
23,CE,2004,916
53,DF,2004,506
32,ES,2004,1188
52,GO,2004,988
31,MG,2004,3255
50,MS,2004,387
51,MT,2004,454
